iter	Passed	Remaining
408	1357	1961
409	1358	1955
410	1359	1948
411	1361	1942
412	1362	1936
413	1364	1930
414	1365	1924
415	1366	1918
416	1369	1914
417	1371	1909
418	1372	1903
419	1373	1896
420	1375	1891
421	1376	1885
422	1377	1879
423	1379	1873
424	1380	1867
425	1381	1861
426	1385	1858
427	1386	1852
428	1387	1846
429	1388	1841
430	1390	1835
431	1391	1829
432	1392	1823
433	1394	1818
434	1395	1812
435	1396	1806
436	1399	1803
437	1401	1798
438	1402	1792
439	1404	1786
440	1405	1781
441	1406	1776
442	1408	1770
443	1409	1765
444	1411	1759
445	1413	1755
446	1415	1751
447	1416	1745
448	1418	1740
449	1419	1735
450	1421	1730
451	1422	1724
452	1424	1719
453	1425	1714
454	1426	1709
455	1431	1707
456	1433	1702
457	1434	1697
458	1435	1692
459	1437	1687
460	1438	1682
461	1440	1677
462	1441	1672
463	1444	1669
464	1446	1664
465	1448	1659
466	1449	1654
467	1451	1649
468	1452	1644
469	1454	1639
470	1456	1635
471	1460	1633
472	1463	1630
473	1464	1625
474	1465	1620
475	1467	1615
476	1468	1610
477	1470	1605
478	1471	1600
479	1473	1595
480	1474	1591
481	1476	1586
482	1478	1582
483	1479	1577
484	1480	1572
485	1482	1567
486	1483	1562
487	1484	1557
488	1486	1553
489	1487	1548
490	1488	1543
491	1491	1539
492	1492	1535
493	1493	1530
494	1495	1525
495	1496	1520
496	1497	1515
497	1499	1511
498	1500	1506
499	1501	1501
500	1503	1497
501	1504	1492
502	1506	1488
503	1508	1484
504	1509	1479
505	1510	1474
506	1512	1470
507	1513	1465
508	1515	1462
509	1517	1457
510	1518	1453
511	1519	1448
512	1521	1444
513	1523	1440
514	1524	1435
515	1525	1431
516	1526	1426
517	1528	1421
518	1529	1417
519	1531	1413
520	1532	1408
521	1533	1404
522	1534	1399
523	1536	1395
524	1538	1392
525	1540	1387
526	1541	1383
527	1542	1378
528	1544	1374
529	1545	1370
530	1546	1366
531	1547	1361
532	1549	1357
533	1550	1353
534	1552	1349
535	1554	1345
536	1555	1340
537	1556	1336
538	1557	1332
539	1559	1328
540	1560	1324
541	1562	1319
542	1563	1315
543	1564	1311
544	1565	1307
545	1568	1304
546	1570	1300
547	1571	1296
548	1572	1292
549	1574	1288
550	1575	1284
551	1577	1279
552	1578	1275
553	1579	1271
554	1581	1267
555	1582	1263
556	1584	1260
557	1586	1256
558	1587	1252
559	1589	1248
560	1590	1244
561	1592	1240
562	1593	1236
563	1594	1232
564	1596	1228
565	1597	1224
566	1599	1221
567	1601	1217
568	1602	1214
569	1604	1210
570	1605	1206
571	1606	1202
572	1608	1198
573	1609	1194
574	1611	1190
575	1612	1186
576	1614	1183
577	1616	1179
578	1617	1176
579	1619	1172
580	1620	1168
581	1621	1164
582	1622	1160
583	1624	1156
584	1625	1153
585	1626	1149
586	1627	1145
587	1629	1141
588	1631	1138
589	1633	1134
590	1634	1131
591	1635	1127
592	1637	1123
593	1638	1119
594	1639	1116
595	1641	1112
596	1642	1108
597	1644	1105
598	1646	1102
599	1648	1098
600	1649	1095
601	1650	1091
602	1652	1087
603	1653	1084
604	1654	1080
605	1656	1076
606	1657	1073
607	1659	1069
608	1661	1066
609	1663	1063
610	1664	1059
611	1665	1056
612	1667	1052
613	1668	1048
614	1669	1045
615	1671	1041
616	1672	1038
617	1673	1034
618	1675	1031
619	1678	1028
620	1679	1024
621	1680	1021
622	1681	1017
623	1683	1014
624	1684	1010
625	1685	1007
626	1687	1003
627	1688	1000
628	1689	996
629	1690	993
630	1693	990
631	1694	986
632	1696	983
633	1697	979
634	1698	976
635	1700	973
636	1701	969
637	1703	966
638	1704	962
639	1705	959
640	1708	956
641	1709	953
642	1710	949
643	1712	946
644	1713	943
645	1714	939
646	1716	936
647	1717	932
648	1718	929
649	1720	926
650	1721	922
651	1724	920
652	1725	916
653	1726	913
654	1727	910
655	1729	906
656	1730	903
657	1731	900
658	1733	896
659	1734	893
660	1735	890
661	1737	887
662	1739	884
663	1740	880
664	1742	877
665	1743	874
666	1744	871
667	1745	867
668	1747	864
669	1748	861
670	1749	857
671	1751	854
672	1752	851
673	1754	848
674	1756	845
675	1757	842
676	1758	839
677	1760	835
678	1761	832
679	1762	829
680	1763	826
681	1765	823
682	1766	819
683	1768	816
684	1770	813
685	1771	810
686	1772	807
687	1773	804
688	1775	801
689	1776	798
690	1777	794
691	1779	792
692	1781	789
693	1782	785
694	1784	783
695	1786	780
696	1787	777
697	1788	773
698	1790	770
699	1791	767
700	1792	764
701	1794	761
702	1796	759
703	1798	756
704	1803	754
705	1806	752
706	1809	750
707	1812	747
708	1817	746
709	1820	743
710	1824	741
711	1826	738
712	1829	736
713	1843	738
714	1849	737
715	1852	734
716	1854	731
717	1855	728
718	1857	725
719	1858	722
720	1859	719
721	1860	716
722	1863	714
723	1865	711
724	1866	707
725	1867	704
726	1869	701
727	1870	698
728	1871	695
729	1873	692
730	1874	689
731	1876	686
732	1879	684
733	1880	681
734	1881	678
735	1883	675
736	1885	672
737	1886	669
738	1887	666
739	1889	663
740	1890	660
741	1891	657
742	1894	655
743	1896	652
744	1897	649
745	1899	646
746	1900	643
747	1901	640
748	1903	637
749	1904	634
750	1905	631
751	1907	628
752	1910	626
753	1911	623
754	1912	620
755	1914	617
756	1915	614
757	1916	612
758	1918	609
759	1919	606
760	1920	603
761	1922	600
762	1923	597
763	1925	594
764	1926	591
765	1928	588
766	1929	586
767	1930	583
768	1932	580
769	1933	577
770	1934	574
771	1936	571
772	1937	568
773	1940	566
774	1942	563
775	1944	561
776	1945	558
777	1947	555
778	1948	552
779	1949	549
780	1951	547
781	1952	544
782	1956	542
783	1957	539
784	1959	536
785	1960	533
786	1961	530
787	1962	528
788	1964	525
789	1965	522
790	1966	519
791	1968	516
792	1972	514
793	1973	512
794	1975	509
795	1976	506
796	1977	503
797	1978	500
798	1980	498
799	1981	495
800	1982	492
801	1984	489
802	1986	487
803	1988	484
804	1989	481
805	1990	479
806	1992	476
807	1993	473
808	1994	470
809	1996	468
810	1997	465
811	1998	462
812	2001	460
813	2002	457
814	2003	454
815	2005	452
816	2006	449
817	2007	446
818	2008	443
819	2010	441
820	2011	438
821	2012	435
822	2014	433
823	2017	430
824	2018	428
825	2019	425
826	2021	422
827	2022	420
828	2023	417
829	2025	414
830	2026	412
831	2027	409
832	2029	406
833	2030	404
834	2032	401
835	2033	398
836	2034	396
837	2035	393
838	2037	390
839	2038	388
840	2040	385
841	2041	383
842	2043	380
843	2044	377
844	2046	375
845	2048	372
846	2049	370
847	2051	367
848	2052	365
849	2053	362
850	2055	359
851	2057	357
852	2058	354
853	2061	352
854	2063	349
855	2064	347
856	2066	344
857	2067	342
858	2068	339
859	2069	336
860	2072	334
861	2073	331
862	2074	329
863	2076	326
864	2078	324
865	2079	321
866	2081	319
867	2082	316
868	2083	314
869	2084	311
870	2086	309
871	2087	306
872	2088	303
873	2090	301
874	2092	298
875	2093	296
876	2095	293
877	2096	291
878	2097	288
879	2098	286
880	2100	283
881	2101	281
882	2103	278
883	2104	276
884	2107	273
885	2108	271
886	2110	268
887	2111	266
888	2112	263
889	2114	261
890	2115	258
891	2116	256
892	2117	253
893	2119	251
894	2120	248
895	2123	246
896	2124	243
897	2125	241
898	2127	238
899	2128	236
900	2129	234
901	2131	231
902	2132	229
903	2134	226
904	2135	224
905	2137	221
906	2138	219
907	2140	216
908	2141	214
909	2142	211
910	2143	209
911	2145	206
912	2146	204
913	2147	202
914	2149	199
915	2150	197
916	2153	194
917	2155	192
918	2156	190
919	2157	187
920	2159	185
921	2160	182
922	2161	180
923	2162	177
924	2164	175
925	2165	173
926	2167	170
927	2169	168
928	2170	165
929	2172	163
930	2173	161
931	2174	158
932	2176	156
933	2177	153
934	2178	151
935	2180	149
936	2181	146
937	2183	144
938	2185	141
939	2186	139
940	2187	137
941	2189	134
942	2190	132
943	2191	130
944	2193	127
945	2194	125
946	2195	122
947	2197	120
948	2199	118
949	2201	115
950	2202	113
951	2203	111
952	2204	108
953	2206	106
954	2207	104
955	2208	101
956	2210	99
957	2212	96
958	2216	94
959	2217	92
960	2218	90
961	2220	87
962	2221	85
963	2222	83
964	2223	80
965	2225	78
966	2226	75
967	2228	73
968	2229	71
969	2232	69
970	2233	66
971	2234	64
972	2236	62
973	2237	59
974	2238	57
975	2240	55
976	2241	52
977	2242	50
978	2243	48
979	2245	45
980	2247	43
981	2248	41
982	2249	38
983	2251	36
984	2252	34
985	2253	31
986	2255	29
987	2256	27
988	2257	25
989	2259	22
990	2260	20
991	2262	18
992	2263	15
993	2265	13
994	2266	11
995	2267	9
996	2269	6
997	2270	4
998	2272	2
999	2273	0
